,Term_NDoc_Date,Sentence,Frame
2457,18_166_2016-04-27,"Lieber Herr Ströbele, die Befugnisse des Bundeskriminalamts zur Abwehr von Gefahren durch den internationalen Terrorismus sind von besonderer Bedeutung.",4
3199,18_200_2016-11-11,"Rassistischer Hass und Gewalt gehen uns alle an, nicht nur die direkt davon Betroffenen.",1.3
3236,18_201_2016-11-22,Wir haben in Deutschland in den ersten neun Monaten dieses Jahres etwa 20 000 Abschiebungen gesehen.,2.5
39,18_100_2015-04-23,Davon sind fast 70 000 nach Beginn des Konfliktes als Asylbewerber zu uns gekommen.,4.3
3137,18_197_2016-10-21,Mit dem Entwurf eines Gesetzes zur Ermittlung der Regelbedarfe und mit dem Entwurf eines Dritten Geset zes zur Änderung des Asylbewerberleistungsgesetzes setzen wir diesen gesetzlichen Auftrag um.,x
1531,18_145_2015-12-16,"Liebe Kolleginnen und Kollegen!  Frau Bundeskanzlerin, Sie haben gesagt, dass Deutschland im Fadenkreuz des Terrorismus steht.",4.6
1781,18_149_2016-01-14,"Wenn wir eine europäische Flüchtlingspolitik wollen, dann muss Europa sein Asylrecht im Einklang mit dem Asylrecht seiner europäischen Nachbarn halten und darf keine weiteren einseitigen Anreize schaffen.",x
1357,18_143_2015-12-03,"Selbst wenn es zu einer Einigung zwischen der deutschen Regierung und Afghanistan kommen sollte und entsprechende Rückführungsabkommen geschlossen würden, wie sie übrigens andere europäische Staaten haben, die weiterhin Asylund Bleibegründe im jeweiligen nationalen oder europäischen Rechtsrahmen kennen, bleibt es uns Parlamentarierinnen und Parlamentariern überlassen, darüber noch einmal gesondert zu befinden.",x
4103,18_85_2015-02-05,"Kolleginnen und Kollegen, es gibt also genug Gründe, weshalb wir in Deutschland an dem im Koalitionsvertrag vereinbarten Grundsatz der bedarfsgerechten Zuwanderung festhalten sollten.",3.5
4100,18_85_2015-02-05,"Die meisten unserer Zuwanderungsregeln für ausländische Fachkräfte haben – im Gegensatz zu Ländern mit Kriteriensystem, wo zumeist pro Jahr immer nur eine begrenzte Anzahl an Visa für bestimmte Mangelberufe vergeben wird – nach oben keine zahlenmäßige Beschränkung.",3.5
815,18_128_2015-10-02,"Die bewährten Integrationskurse werden für Asylbewerber mit guter Bleibeperspektive geöffnet, und die hierfür vorgesehenen Mittel werden entsprechend dem gestiegenen Bedarf aufgestockt.",3.4
345,18_119_2015-09-08,Die Zahl der Asylbewerber wächst exponentiell.,4.3
1152,18_139_2015-11-25,"Diese Koalition kann nur dann dafür sorgen, dass Deutschland ein solcher Integrationsmotor in Europa ist, wenn sie zu Geschlossenheit findet und sich auf die Werte Europas besinnt.",x
1931,18_152_2016-01-28,"Ich möchte auch deutlich betonen, dass wir als Bundeshaushaltsgesetzgeber unsere Hausaufgaben gemacht haben, indem wir das Programm „Integration durch Sport“ deutlich aufgewertet haben: von 5,4 Millionen Euro im Jahr 2015 auf 11 Millionen Euro in diesem Jahr.",x
1029,18_138_2015-11-24,Wir haben das Terrorismusbekämpfungsgesetz wieder verlängert.,4
1946,18_153_2016-01-29,"Deswegen haben wir uns in unserem, wie ich finde, sehr guten und ausführlichen Antrag dazu bekannt, dass wir weitere Modellregionen ausweisen wollen.",x
3378,18_203_2016-11-24,Damit haben wir ein Zeichen für die Integration von Langzeitarbeitslosen gesetzt.,x
4226,18_99_2015-04-22,"Die 15 Mitglieder des Sicherheitsrates drängen auf eine stärkere internationale Zusammenarbeit, um weitere Bootstragödien zu vermeiden und die Schlepperbanden zu bekämpfen.",2.4
1141,18_139_2015-11-25,"Dann wird es gelingen, den Nährboden auszutrocknen, auf dem Extremismus und Terrorismus gedeihen, und nur dann wird es gelingen, wieder Lebensperspektiven für die Menschen zu entwickeln.",1
4085,18_85_2015-02-05,"Aber als Jurist zu glauben, mit einem neuen Gesetz ein besseres Einwanderungsrecht zu schaffen bzw. für eine bessere Integration zu sorgen, ist eine komplette Illusion und eine Verkennung der tatsächlichen Lage.",x
1265,18_140_2015-11-26,Deshalb haben wir die Mittel für die berufliche Integration und Beratung von Zuwanderern auf insgesamt fast 48 Millionen Euro aufgestockt.,x
201,18_110_2015-06-12,Die zweite Maßnahme – darüber haben wir heute schon gesprochen – ist eine verstärkte internationale Zusammenarbeit beim Vorgehen gegen Schlepper.,2.4
1941,18_152_2016-01-28,Fluchtursachen wirksam bekämpft werden?,x
